Navn;Stasjon;Tid(norsk normaltid);Gjennomsnittlig globalstråling (1 t)
Trondheim - Gløshaugen;SN68173;01.01.2022 01:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 02:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 03:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 04:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 05:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 06:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 07:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 08:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 09:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 10:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 11:00;5,71
Trondheim - Gløshaugen;SN68173;01.01.2022 12:00;21,84
Trondheim - Gløshaugen;SN68173;01.01.2022 13:00;26,72
Trondheim - Gløshaugen;SN68173;01.01.2022 14:00;15,88
Trondheim - Gløshaugen;SN68173;01.01.2022 15:00;0,23
Trondheim - Gløshaugen;SN68173;01.01.2022 16:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 17:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 18:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 19:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 20:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 21:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 22:00;0
Trondheim - Gløshaugen;SN68173;01.01.2022 23:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 00:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 01:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 02:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 03:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 04:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 05:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 06:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 07:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 08:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 09:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 10:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 11:00;7,6
Trondheim - Gløshaugen;SN68173;02.01.2022 12:00;31,88
Trondheim - Gløshaugen;SN68173;02.01.2022 13:00;25,73
Trondheim - Gløshaugen;SN68173;02.01.2022 14:00;21,08
Trondheim - Gløshaugen;SN68173;02.01.2022 15:00;0,16
Trondheim - Gløshaugen;SN68173;02.01.2022 16:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 17:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 18:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 19:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 20:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 21:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 22:00;0
Trondheim - Gløshaugen;SN68173;02.01.2022 23:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 00:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 01:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 02:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 03:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 04:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 05:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 06:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 07:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 08:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 09:00;0
Trondheim - Gløshaugen;SN68173;03.01.2022 10:00;0
