timestamp,0BRoom_temperature,0BTLivingRoom_temperature,1Entrance_temperature,1GuestRoom_temperature,1MainRoom_temperature,1OutdoorEntrance_temperature,2LivingRoomCenter_temperature,2OfficeDesk_temperature,2Fireplace_temperature,2Cooking_temperature
2022-07-01 01:00:00+02:00,23.62,24.99,25.88,24.46,25.44,20.85,29.65,30.38,29.65,29.65
2022-07-01 02:00:00+02:00,23.41,24.81,25.78,24.29,25.79,20.45,28.9,29.73,28.9,28.9
2022-07-01 03:00:00+02:00,23.22,24.63,25.64,24.16,26.04,20.25,28.2,29.09,28.2,28.2
2022-07-01 04:00:00+02:00,23.23,24.54,25.48,24.19,26.34,20.1,27.68,28.49,27.68,27.68
2022-07-01 05:00:00+02:00,23.48,24.59,25.33,24.45,26.74,20.2,27.42,28.0,27.42,27.42
2022-07-01 06:00:00+02:00,23.82,24.7,25.2,24.8,27.13,20.95,27.31,27.67,27.31,27.31
2022-07-01 07:00:00+02:00,24.11,24.78,25.11,25.1,27.42,21.85,27.26,27.51,27.26,27.26
2022-07-01 08:00:00+02:00,24.33,24.81,25.08,25.33,26.71,22.8,27.54,27.54,27.54,27.54
2022-07-01 09:00:00+02:00,24.56,24.85,25.09,25.55,25.98,23.3,27.85,28.73,27.85,27.85
2022-07-01 10:00:00+02:00,24.81,24.93,25.18,25.76,25.52,23.8,28.3,30.36,28.3,28.3
2022-07-01 11:00:00+02:00,25.03,25.05,25.37,25.92,25.2,25.05,29.05,32.17,29.05,29.05
2022-07-01 12:00:00+02:00,25.19,25.21,25.67,26.04,25.01,26.5,30.05,34.28,30.05,30.05
2022-07-01 13:00:00+02:00,25.35,25.42,26.04,26.16,24.95,28.1,31.15,36.34,31.15,31.15
2022-07-01 14:00:00+02:00,25.48,25.67,26.46,26.28,24.98,27.5,32.2,38.15,32.2,32.2
2022-07-01 15:00:00+02:00,25.59,25.95,26.87,26.39,25.09,26.35,33.02,39.32,33.02,33.02
2022-07-01 16:00:00+02:00,25.65,26.24,27.21,26.46,25.24,26.9,33.54,39.83,33.54,33.54
2022-07-01 17:00:00+02:00,25.67,26.49,27.5,26.5,25.35,27.6,33.98,39.17,33.98,33.98
2022-07-01 18:00:00+02:00,25.65,26.7,27.73,26.5,25.42,27.3,34.22,38.23,34.22,34.22
2022-07-01 19:00:00+02:00,25.64,26.89,27.88,26.51,25.49,25.55,34.24,37.3,34.24,34.24
2022-07-01 20:00:00+02:00,25.78,27.13,27.96,26.64,25.66,23.9,34.23,36.36,34.23,34.23
2022-07-01 21:00:00+02:00,26.04,27.41,27.99,26.88,25.91,22.9,34.24,35.46,34.24,34.24
2022-07-01 22:00:00+02:00,26.14,27.56,28.0,26.97,26.0,22.15,34.05,34.6,34.05,34.05
2022-07-01 23:00:00+02:00,25.91,27.45,27.96,26.75,25.8,21.55,33.51,33.78,33.51,33.51
2022-07-02 00:00:00+02:00,25.58,27.21,27.88,26.43,26.35,21.05,32.53,32.99,32.53,32.53
2022-07-02 01:00:00+02:00,25.25,26.93,27.73,26.13,26.86,20.5,31.49,32.21,31.49,31.49
2022-07-02 02:00:00+02:00,24.93,26.64,27.55,25.85,27.11,19.95,30.58,31.44,30.58,30.58
2022-07-02 03:00:00+02:00,24.64,26.35,27.33,25.6,27.27,19.5,29.73,30.69,29.73,29.73
2022-07-02 04:00:00+02:00,24.54,26.16,27.09,25.53,27.49,19.6,29.08,29.99,29.08,29.08
2022-07-02 05:00:00+02:00,24.76,26.14,26.85,25.75,27.84,20.2,28.75,29.41,28.75,28.75
