,1BathRoomWater,timestamp
0,PRESENT,2022-01-13 23:51:58.748000+01:00
1,NOT_PRESENT,2022-01-13 23:52:00.072000+01:00
2,PRESENT,2022-01-13 23:52:09.173000+01:00
3,NOT_PRESENT,2022-01-13 23:52:11.156000+01:00
4,PRESENT,2022-01-13 23:52:12.875000+01:00
5,NOT_PRESENT,2022-01-13 23:52:14.192000+01:00
6,PRESENT,2022-01-13 23:52:30.749000+01:00
7,NOT_PRESENT,2022-01-13 23:52:32.071000+01:00
8,PRESENT,2022-01-15 13:25:17.736000+01:00
9,NOT_PRESENT,2022-01-15 13:25:19.071000+01:00
10,PRESENT,2022-01-25 12:18:54.382000+01:00
11,NOT_PRESENT,2022-01-25 12:18:55.720000+01:00
12,PRESENT,2022-01-25 12:18:58.139000+01:00
13,NOT_PRESENT,2022-01-25 12:19:50.955000+01:00
14,PRESENT,2022-01-25 12:19:53.336000+01:00
15,NOT_PRESENT,2022-01-25 12:19:55.311000+01:00
16,PRESENT,2022-01-25 12:19:58.352000+01:00
17,NOT_PRESENT,2022-01-25 12:20:00.328000+01:00
18,PRESENT,2022-01-25 12:20:13.749000+01:00
19,NOT_PRESENT,2022-01-25 12:20:15.052000+01:00
20,PRESENT,2022-01-25 12:20:16.759000+01:00
21,NOT_PRESENT,2022-01-25 12:20:18.716000+01:00
22,PRESENT,2022-01-25 12:20:39.168000+01:00
23,NOT_PRESENT,2022-01-25 12:20:41.390000+01:00
24,PRESENT,2022-01-25 12:20:43.117000+01:00
25,NOT_PRESENT,2022-01-25 12:20:44.434000+01:00
26,PRESENT,2022-01-25 12:24:23.364000+01:00
27,NOT_PRESENT,2022-01-25 12:24:25.388000+01:00
28,PRESENT,2022-01-25 13:20:20.669000+01:00
29,NOT_PRESENT,2022-01-25 13:20:26.094000+01:00
30,PRESENT,2022-01-25 13:20:33.259000+01:00
31,NOT_PRESENT,2022-01-25 13:20:34.591000+01:00
32,PRESENT,2022-01-26 07:04:10.009000+01:00
33,NOT_PRESENT,2022-01-26 07:04:11.339000+01:00
34,PRESENT,2022-01-26 07:04:13.076000+01:00
35,NOT_PRESENT,2022-01-26 07:04:14.401000+01:00
36,PRESENT,2022-01-26 07:04:21.066000+01:00
37,NOT_PRESENT,2022-01-26 07:04:22.393000+01:00
38,PRESENT,2022-01-26 11:18:03.412000+01:00
39,NOT_PRESENT,2022-01-26 11:18:04.742000+01:00
40,PRESENT,2022-01-26 11:19:37.021000+01:00
41,NOT_PRESENT,2022-01-26 11:19:45.516000+01:00
42,PRESENT,2022-01-26 11:19:50.176000+01:00
43,NOT_PRESENT,2022-01-26 11:19:51.510000+01:00
44,PRESENT,2022-01-26 11:19:56.164000+01:00
45,NOT_PRESENT,2022-01-26 11:20:04.399000+01:00
46,NOT_PRESENT,2022-01-26 11:20:25.383000+01:00
47,PRESENT,2022-01-26 11:21:16.130000+01:00
48,NOT_PRESENT,2022-01-26 11:21:30.414000+01:00
49,PRESENT,2022-01-26 11:21:32.138000+01:00
50,NOT_PRESENT,2022-01-26 11:21:35.459000+01:00
51,PRESENT,2022-01-26 11:21:39.015000+01:00
52,NOT_PRESENT,2022-01-26 11:21:46.489000+01:00
53,PRESENT,2022-01-26 11:21:50.680000+01:00
54,NOT_PRESENT,2022-01-26 11:21:51.998000+01:00
55,PRESENT,2022-01-26 11:21:53.718000+01:00
56,NOT_PRESENT,2022-01-26 11:21:55.035000+01:00
57,PRESENT,2022-01-26 11:21:56.349000+01:00
58,NOT_PRESENT,2022-01-26 11:21:57.674000+01:00
59,PRESENT,2022-01-26 11:21:59.392000+01:00
60,NOT_PRESENT,2022-01-26 11:22:02.274000+01:00
61,PRESENT,2022-01-26 11:22:16.661000+01:00
62,NOT_PRESENT,2022-01-26 11:22:19.549000+01:00
63,PRESENT,2022-01-26 11:22:32.617000+01:00
64,NOT_PRESENT,2022-01-26 11:22:33.931000+01:00
65,PRESENT,2022-01-26 11:22:43.425000+01:00
66,NOT_PRESENT,2022-01-26 11:22:44.745000+01:00
67,PRESENT,2022-01-26 11:22:53.806000+01:00
68,NOT_PRESENT,2022-01-26 11:22:55.126000+01:00
69,PRESENT,2022-01-26 11:23:17.180000+01:00
70,NOT_PRESENT,2022-01-26 11:23:18.499000+01:00
71,PRESENT,2022-01-26 11:23:38.607000+01:00
72,NOT_PRESENT,2022-01-26 11:25:06.668000+01:00
73,PRESENT,2022-01-26 11:25:15.295000+01:00
74,NOT_PRESENT,2022-01-26 11:25:33.851000+01:00
75,PRESENT,2022-01-26 17:18:20.367000+01:00
76,NOT_PRESENT,2022-01-26 17:18:21.693000+01:00
77,PRESENT,2022-01-26 17:18:29.482000+01:00
78,NOT_PRESENT,2022-01-26 17:18:30.816000+01:00
79,PRESENT,2022-01-26 17:19:12.885000+01:00
80,NOT_PRESENT,2022-01-26 17:19:14.215000+01:00
81,PRESENT,2022-01-27 07:06:01.542000+01:00
82,NOT_PRESENT,2022-01-27 07:06:04.214000+01:00
83,PRESENT,2022-01-27 07:06:10.629000+01:00
84,NOT_PRESENT,2022-01-27 07:06:11.950000+01:00
85,PRESENT,2022-01-27 07:06:15.669000+01:00
86,NOT_PRESENT,2022-01-27 07:06:16.986000+01:00
87,PRESENT,2022-01-27 09:07:56.900000+01:00
88,NOT_PRESENT,2022-01-27 09:07:58.232000+01:00
89,PRESENT,2022-01-27 09:08:35.804000+01:00
90,NOT_PRESENT,2022-01-27 09:08:46.616000+01:00
91,PRESENT,2022-01-27 09:08:48.349000+01:00
92,NOT_PRESENT,2022-01-27 09:09:01.346000+01:00
93,PRESENT,2022-01-27 09:09:12.083000+01:00
94,NOT_PRESENT,2022-01-27 09:09:13.412000+01:00
95,PRESENT,2022-01-27 09:09:29.013000+01:00
96,NOT_PRESENT,2022-01-27 09:09:30.341000+01:00
97,PRESENT,2022-01-27 16:25:04.651000+01:00
98,NOT_PRESENT,2022-01-27 16:25:06.652000+01:00
99,PRESENT,2022-01-27 16:25:11.976000+01:00
100,NOT_PRESENT,2022-01-27 16:25:13.303000+01:00
101,PRESENT,2022-01-27 18:29:05.143000+01:00
102,NOT_PRESENT,2022-01-27 18:29:06.464000+01:00
103,PRESENT,2022-01-27 18:29:27.815000+01:00
104,NOT_PRESENT,2022-01-27 18:29:29.132000+01:00
105,PRESENT,2022-01-27 18:29:52.629000+01:00
106,NOT_PRESENT,2022-01-27 18:29:53.947000+01:00
107,PRESENT,2022-01-27 20:00:12.103000+01:00
108,NOT_PRESENT,2022-01-27 20:00:16.145000+01:00
109,PRESENT,2022-01-27 20:00:17.883000+01:00
110,NOT_PRESENT,2022-01-27 20:00:19.211000+01:00
111,PRESENT,2022-01-28 08:32:45.260000+01:00
112,NOT_PRESENT,2022-01-28 08:32:49.292000+01:00
113,PRESENT,2022-01-28 08:32:54.404000+01:00
114,NOT_PRESENT,2022-01-28 08:32:55.728000+01:00
115,PRESENT,2022-01-28 09:47:01.225000+01:00
116,NOT_PRESENT,2022-01-28 09:47:02.560000+01:00
117,PRESENT,2022-01-28 11:18:20.059000+01:00
118,NOT_PRESENT,2022-01-28 11:18:22.321000+01:00
119,PRESENT,2022-01-28 11:21:01.383000+01:00
120,NOT_PRESENT,2022-01-28 11:21:02.719000+01:00
121,PRESENT,2022-01-28 13:00:44.234000+01:00
122,NOT_PRESENT,2022-01-28 13:00:45.576000+01:00
123,PRESENT,2022-01-28 13:00:51.404000+01:00
124,NOT_PRESENT,2022-01-28 13:00:52.725000+01:00
125,PRESENT,2022-01-28 14:28:36.742000+01:00
126,NOT_PRESENT,2022-01-28 14:28:45.987000+01:00
127,PRESENT,2022-01-28 14:28:47.995000+01:00
128,NOT_PRESENT,2022-01-28 14:28:49.328000+01:00
129,PRESENT,2022-01-28 14:28:53.997000+01:00
130,NOT_PRESENT,2022-01-28 14:28:56.910000+01:00
131,PRESENT,2022-01-28 14:28:58.644000+01:00
132,NOT_PRESENT,2022-01-28 14:28:59.979000+01:00
133,PRESENT,2022-01-28 14:29:02.382000+01:00
134,NOT_PRESENT,2022-01-28 14:29:03.716000+01:00
135,PRESENT,2022-01-28 14:29:35.430000+01:00
136,NOT_PRESENT,2022-01-28 14:29:36.756000+01:00
137,PRESENT,2022-01-28 14:29:57.509000+01:00
138,NOT_PRESENT,2022-01-28 14:29:58.834000+01:00
139,PRESENT,2022-01-28 14:31:12.338000+01:00
140,NOT_PRESENT,2022-01-28 14:31:13.675000+01:00
141,PRESENT,2022-01-28 14:31:19.740000+01:00
142,NOT_PRESENT,2022-01-28 14:31:21.085000+01:00
143,PRESENT,2022-01-28 18:01:55.559000+01:00
144,NOT_PRESENT,2022-01-28 18:01:56.890000+01:00
145,PRESENT,2022-01-28 19:31:46.315000+01:00
146,NOT_PRESENT,2022-01-28 19:31:47.652000+01:00
147,PRESENT,2022-01-28 19:52:14.767000+01:00
148,NOT_PRESENT,2022-01-28 19:52:16.094000+01:00
149,PRESENT,2022-01-28 20:00:00.667000+01:00
150,NOT_PRESENT,2022-01-28 20:00:02+01:00
151,PRESENT,2022-01-28 20:03:11.979000+01:00
152,NOT_PRESENT,2022-01-28 20:03:13.310000+01:00
153,PRESENT,2022-01-29 07:36:23.451000+01:00
154,NOT_PRESENT,2022-01-29 07:36:24.793000+01:00
155,PRESENT,2022-01-29 07:36:39.095000+01:00
156,NOT_PRESENT,2022-01-29 07:36:40.436000+01:00
157,PRESENT,2022-01-29 07:36:42.177000+01:00
158,NOT_PRESENT,2022-01-29 07:36:43.515000+01:00
159,PRESENT,2022-01-29 14:54:43.051000+01:00
160,NOT_PRESENT,2022-01-29 14:54:44.382000+01:00
